,user.loginStatus,user.id,user.personal.language,classified.id,classified.type,classified.subtype,classified.price,classified.transactionType,classified.zip,classified.visualisationOption,classified.kitchen.type,classified.building.constructionYear,classified.building.condition,classified.energy.heatingType,classified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.atticExists,classified.basementExists,classified.outdoor.garden.surface,classified.outdoor.terrace.exists,classified.specificities.SME.office.exists,classified.wellnessEquipment.hasSwimmingPool,classified.parking.parkingSpaceCount.indoor,classified.parking.parkingSpaceCount.outdoor,classified.condition.isNewlyBuilt,customer.id,customer.name,customer.family,customer.groupInfo.id,customer.groupInfo.name,customer.networkInfo.id,customer.networkInfo.name,screen.name,screen.language
0,logged out,,,8992291,house,apartment block,400000,for sale,9300,xl,semi equipped,1964,to be done up,gas,755,4,200,,,,true,,,,,false,133418,accenta,agency,,,,,classified details,en
0,logged out,,,9714745,house,apartment block,279000,for sale,9300,xl,installed,,as new,gas,242,3,136,,,,true,,,,,false,1558824,de ras immo,agency,,,,,classified details,en
0,logged out,,,9526190,house,apartment block,160000,for sale,3200,xl,installed,,to renovate,gas,765,3,244,,true,135,true,,,,,false,2063476,a property - pelsmaekers,agency,,,,,classified details,en
0,logged out,,,9186737,house,apartment block,795000,for sale,1070,xl,,,to be done up,gas,458,8,162,,,12,true,,,,,false,3511037,,private,,,,,classified details,en
0,logged out,,,classified details,en
0,logged out,,,9514458,house,apartment block,369000,for sale,1070,xl,usa installed,,good,gas,412,3,0,,true,35,true,,,,,false,3826086,prestige consultor immobilier,agency,,,,,classified details,en
0,logged out,,,9543650,house,apartment block,499000,for sale,1070,xl,semi equipped,,to be done up,gas,180,4,0,true,,,true,true,,,,false,3826086,prestige consultor immobilier,agency,,,,,classified details,en
0,logged out,,,9564645,house,apartment block,349000,for sale,1070,xl,semi equipped,1925,as new,gas,311,1,0,,,,,,,,,false,2305528,immo pické bv bvba,real_estate_agency,,,,,classified details,en
0,logged out,,,9594476,house,apartment block,675000,for sale,1070,xl,installed,,as new,gas,191,5,0,,,,true,,,,,false,3826086,prestige consultor immobilier,agency,,,,,classified details,en
0,logged out,,,9664345,house,apartment block,450000,for sale,1070,xl,hyper equipped,1930,good,gas,275,5,100,,,45,true,,,,,false,1942392,bathim &amp; co - l&#039;immobilier sur mesure,agency,,,,,classified details,en
0,logged out,,,9693450,house,apartment block,579000,for sale,1070,xl,installed,1899,good,gas,288,1,90,,,,,,,,,false,1558824,de ras immo,agency,,,,,classified details,en
0,logged out,,,9702460,house,apartment block,529000,for sale,1070,xl,installed,1970,good,gas,424,5,131,,true,40,true,true,,1,1,false,1511552,trianon invest,agency,,,,,classified details,en
0,logged out,,,9709003,house,apartment block,510000,for sale,1070,xl,not installed,1887,to renovate,gas,437,6,110,,true,,,,,1,2,false,1511552,trianon invest,agency,,,,,classified details,en
0,logged out,,,9725663,house,apartment block,390000,for sale,1070,xl,installed,1918,good,gas,265,3,85,,true,,true,,,,,false,2629827,immo bpc,agency,,,,,classified details,en
0,logged out,,,9727235,house,apartment block,620000,for sale,1070,xl,semi equipped,1910,to renovate,,287,5,131,,true,,true,,,,,false,1511552,trianon invest,agency,,,,,classified details,en
0,logged out,,,9738304,house,apartment block,2950000,for sale,1070,xl,,,as new,gas,,0,2290,,,,true,true,,,,false,1744,immobilière schmidt,agency,,,,,classified details,en
0,logged out,,,9744909,house,apartment block,895000,for sale,1070,xl,semi equipped,1912,good,,170,0,130,,true,,true,,,,,false,1110748,oralis real estate,agency,,,,,classified details,en
