classified.price,classified.zip,classified.kitchen.type,classified.building.constructionYear,classified.building.condition,classified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.atticExists,classified.basementExists,classified.outdoor.garden.surface,classified.outdoor.terrace.exists,classified.specificities.SME.office.exists,classified.wellnessEquipment.hasSwimmingPool,classified.parking.parkingSpaceCount.indoor,classified.parking.parkingSpaceCount.outdoor,carbon,electric,fueloil,gas,pellet,wood
400000.0,9300,3.0,1964.0,3.0,755.0,4,200.0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0
349000.0,1070,3.0,1925.0,7.0,311.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
450000.0,1070,4.0,1930.0,5.0,275.0,5,100.0,0,0,45.0,1,0,0,0,0,0,0,0,1,0,0
579000.0,1070,2.0,1899.0,5.0,288.0,1,90.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
529000.0,1070,2.0,1970.0,5.0,424.0,5,131.0,0,1,40.0,1,1,0,1,1,0,0,0,1,0,0
510000.0,1070,1.0,1887.0,1.0,437.0,6,110.0,0,1,0.0,0,0,0,1,2,0,0,0,1,0,0
390000.0,1070,2.0,1918.0,5.0,265.0,3,85.0,0,1,0.0,1,0,0,0,0,0,0,0,1,0,0
549000.0,1070,2.0,1962.0,5.0,508.0,4,0.0,0,0,0.0,1,0,0,1,0,0,0,0,1,0,0
645000.0,2060,2.0,1950.0,5.0,250.0,3,65.0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0
635000.0,1160,1.0,1923.0,1.0,461.0,5,0.0,1,1,20.0,0,1,0,0,0,0,0,0,1,0,0
625000.0,5377,2.0,1937.0,5.0,530.0,9,2040.0,1,1,2688.0,1,0,0,2,15,0,0,1,0,0,0
475000.0,6600,2.0,1947.0,5.0,237.0,8,0.0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,0
720000.0,1082,4.0,1910.0,1.0,168.0,10,110.0,0,1,30.0,0,0,0,0,0,0,0,0,1,0,0
385000.0,1082,2.0,1930.0,1.0,329.0,4,96.0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0
800000.0,1420,4.0,1980.0,5.0,245.0,2,1200.0,0,0,0.0,1,0,0,0,20,0,0,0,1,0,0
675000.0,8000,4.0,2022.0,6.0,138.0,3,126.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
685000.0,8000,2.0,2006.0,5.0,167.0,4,434.0,0,0,0.0,1,0,0,1,3,0,0,0,1,0,0
730000.0,1000,2.0,1984.0,5.0,380.0,10,102.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
495000.0,1000,4.0,1958.0,1.0,256.0,5,120.0,0,1,40.0,1,1,0,0,0,0,0,0,1,0,0
1350000.0,1000,2.0,1900.0,7.0,262.0,4,76.0,0,1,0.0,1,0,0,0,0,0,0,0,1,0,0
799000.0,1000,2.0,1920.0,5.0,426.0,5,0.0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0
1090000.0,1000,4.0,1874.0,5.0,631.0,4,218.0,0,1,76.0,0,1,0,0,0,0,0,0,1,0,0
1950000.0,1000,2.0,1981.0,7.0,290.0,5,600.0,0,0,0.0,0,0,0,3,0,0,0,1,0,0,0
2685000.0,1000,2.0,2015.0,7.0,150.0,10,400.0,0,0,0.0,1,1,0,5,0,0,0,0,1,0,0
1180000.0,1000,2.0,1905.0,5.0,274.0,7,120.0,0,1,0.0,1,0,0,0,0,0,0,0,1,0,0
3200000.0,1000,3.0,1900.0,3.0,483.0,0,0.0,0,1,120.0,1,0,0,0,0,0,0,1,0,0,0
1595000.0,1000,4.0,1930.0,5.0,210.0,6,192.0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0
1295000.0,1000,4.0,1910.0,5.0,184.0,7,185.0,1,1,112.0,1,0,0,1,0,0,0,0,1,0,0
495000.0,1000,3.0,1850.0,3.0,464.0,4,147.0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0
669000.0,1020,3.0,1930.0,3.0,448.0,0,223.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
649000.0,1020,4.0,1911.0,3.0,358.0,4,170.0,0,1,70.0,1,0,0,0,0,0,0,0,1,0,0
134900.0,6041,2.0,1899.0,5.0,617.0,4,60.0,1,1,0.0,0,0,0,0,0,0,0,0,1,0,0
710000.0,4052,2.0,1966.0,5.0,327.0,5,1900.0,0,0,1700.0,1,0,0,2,6,0,0,1,0,0,0
1225000.0,6180,2.0,1995.0,5.0,275.0,14,1163.0,1,1,600.0,1,0,0,3,10,0,1,0,0,0,0
475000.0,1700,2.0,1957.0,5.0,288.0,4,572.0,0,1,0.0,1,0,0,1,2,0,0,0,1,0,0
3699000.0,4820,2.0,2010.0,5.0,201.0,94,3699.0,0,1,778.0,1,1,0,34,1,0,0,0,1,0,0
1250000.0,7370,2.0,2018.0,7.0,96.0,10,1500.0,0,1,0.0,0,0,0,15,7,0,0,0,1,0,0
975000.0,7370,2.0,2018.0,7.0,96.0,10,1500.0,0,1,0.0,0,0,0,15,7,0,0,0,1,0,0
800000.0,5101,4.0,1981.0,5.0,243.0,3,1721.0,1,1,150.0,1,0,0,1,10,0,0,0,1,0,0
1090000.0,1040,4.0,1874.0,5.0,631.0,4,218.0,0,1,76.0,0,1,0,0,0,0,0,0,1,0,0
845000.0,1040,2.0,1930.0,3.0,378.0,7,135.0,0,1,52.0,1,0,0,0,0,0,0,0,1,0,0
1275000.0,3078,4.0,2000.0,7.0,222.0,6,2286.0,0,1,1670.0,1,0,0,0,6,0,0,0,1,0,0
600000.0,1140,4.0,1950.0,5.0,156.0,4,154.0,0,0,47.0,1,0,0,0,0,0,0,0,1,0,0
475000.0,1140,2.0,1910.0,7.0,178.0,3,224.0,1,0,172.0,1,1,0,0,0,0,0,0,1,0,0
645000.0,1190,2.0,1870.0,5.0,634.0,4,188.0,0,1,0.0,1,0,0,0,0,0,0,0,1,0,0
560000.0,1083,2.0,1936.0,5.0,514.0,4,165.0,0,1,70.0,1,1,0,0,0,0,0,0,1,0,0
750000.0,5030,3.0,1994.0,5.0,1400.0,10,587.0,0,0,0.0,0,0,0,24,0,0,0,0,1,0,0
795000.0,9000,2.0,2017.0,6.0,113.0,6,59.0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0
200000.0,4460,2.0,1910.0,3.0,364.0,3,173.0,0,1,0.0,1,0,0,0,2,0,0,0,1,0,0
1455000.0,3500,4.0,1975.0,6.0,299.0,11,531.0,0,0,0.0,1,0,0,0,2,0,1,0,0,0,0
380000.0,4500,3.0,1961.0,5.0,110.0,5,0.0,1,1,0.0,1,0,0,0,0,0,0,0,1,0,0
140000.0,4500,1.0,1849.0,1.0,271.0,8,260.0,0,1,200.0,1,0,0,0,0,0,0,0,1,0,0
279000.0,4500,3.0,1939.0,5.0,500.0,6,340.0,0,1,250.0,1,0,0,0,0,0,0,0,1,0,0
1499000.0,1050,3.0,1920.0,1.0,357.0,10,134.0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0
3200000.0,1050,2.0,1900.0,5.0,434.0,1,490.0,1,1,0.0,1,1,0,0,0,0,0,1,0,0,0
3050000.0,1050,4.0,1930.0,6.0,129.0,12,280.0,0,1,180.0,1,1,0,0,0,0,0,0,1,0,0
1150000.0,1050,2.0,1896.0,5.0,385.0,6,154.0,0,1,60.0,1,0,0,0,0,0,0,0,1,0,0
1085000.0,1050,3.0,1900.0,5.0,180.0,5,192.0,0,0,86.0,1,0,0,0,0,0,0,0,1,0,0
1075000.0,1050,1.0,1955.0,3.0,785.0,6,105.0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0
599000.0,1090,1.0,1958.0,3.0,474.0,4,355.0,0,1,60.0,1,1,0,6,6,0,0,0,1,0,0
409000.0,1081,2.0,1930.0,1.0,438.0,4,210.0,0,0,125.0,1,1,0,0,0,0,0,0,1,0,0
365000.0,7100,3.0,1947.0,5.0,431.0,5,403.0,1,1,0.0,1,1,0,3,8,0,0,0,1,0,0
865000.0,1020,3.0,1963.0,5.0,217.0,8,92.0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0
450000.0,9280,3.0,1978.0,5.0,836.0,5,817.0,0,0,0.0,1,0,0,6,4,0,1,0,0,0,0
279000.0,4000,2.0,1930.0,5.0,378.0,5,283.0,0,1,117.0,0,1,0,0,0,0,0,0,1,0,0
299000.0,4020,2.0,1850.0,5.0,256.0,6,83.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
129000.0,4020,3.0,1900.0,1.0,241.0,5,100.0,1,1,0.0,0,0,0,0,0,0,0,0,1,0,0
528000.0,3210,2.0,2007.0,5.0,184.0,3,72.0,1,0,0.0,1,0,0,0,0,0,0,0,1,0,0
140000.0,6001,3.0,1930.0,5.0,583.0,2,308.0,1,1,100.0,0,0,0,0,0,0,0,0,1,0,0
223000.0,2800,3.0,1860.0,1.0,859.0,2,60.0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0
289900.0,6211,2.0,1818.0,1.0,451.0,7,500.0,1,1,95.0,1,1,0,2,6,0,0,1,0,0,0
1149000.0,9420,2.0,1875.0,7.0,237.0,3,2040.0,0,1,0.0,1,0,0,0,10,0,0,0,1,0,0
419000.0,2170,1.0,1941.0,1.0,892.0,5,334.0,0,1,170.0,1,0,0,1,1,0,0,0,1,0,0
495000.0,1080,4.0,1958.0,1.0,256.0,5,120.0,0,1,40.0,1,1,0,0,0,0,0,0,1,0,0
572000.0,1080,1.0,1930.0,1.0,655.0,4,130.0,1,1,0.0,0,0,0,0,0,0,0,0,1,0,0
375000.0,7000,3.0,1850.0,5.0,358.0,5,183.0,1,1,0.0,1,1,0,0,0,0,0,0,1,0,0
625000.0,1340,2.0,1936.0,3.0,201.0,4,240.0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0
