classified.type,classified.subtype,classified.price,classified.transactionType,classified.zip,classified.kitchen.type,classified.building.constructionYear,classified.building.condition,classified.energy.heatingType,classified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.atticExists,classified.basementExists,classified.outdoor.garden.surface,classified.outdoor.terrace.exists,classified.specificities.SME.office.exists,classified.wellnessEquipment.hasSwimmingPool,classified.parking.parkingSpaceCount.indoor,classified.parking.parkingSpaceCount.outdoor,classified.condition.isNewlyBuilt,customer.name,customer.family
house,house,349000.0,for sale,6940,semi equipped,1900.0,good,fueloil,315.0,7.0,516.0,True,,359.0,True,,,,,False,we invest marche,agency
house,house,650000.0,for sale,1200,installed,1930.0,to be done up,gas,263.0,4.0,95.0,,True,30.0,True,True,,1.0,1.0,False,expertissimmo,agency
house,house,225000.0,for sale,4000,not installed,1955.0,good,gas,398.0,3.0,145.0,,True,84.0,True,,,,,False,groupe cadimmo trooz-liège-sprimont,agency
house,house,750000.0,for sale,1040,installed,1918.0,good,gas,206.0,5.0,110.0,,True,60.0,True,,,,,False,century 21 cinquantenaire,agency
house,house,316000.0,for sale,8700,semi equipped,1937.0,good,gas,449.0,4.0,280.0,,,,,,,1.0,,False,immo beguin,agency
house,town house,550000.0,for sale,1090,hyper equipped,1934.0,to be done up,gas,303.0,6.0,221.0,,True,65.0,True,,,1.0,2.0,False,nesting,agency
house,apartment block,675000.0,for sale,8000,hyper equipped,2022.0,just renovated,gas,138.0,3.0,126.0,,,18.0,,,,,,False,huys noord immobiliën,agency
house,house,695000.0,for sale,1950,hyper equipped,1990.0,good,gas,228.0,3.0,233.0,,,95.0,True,,,1.0,3.0,False,immoexpat laura iglesias,agency
house,mansion,285000.0,for sale,9600,installed,1945.0,just renovated,gas,208.0,5.0,156.0,True,True,,True,True,,,,False,dmg vastgoed,agency
house,house,315000.0,for sale,3010,semi equipped,1949.0,to renovate,gas,800.0,4.0,76.0,,True,,True,,,,,False,century 21 skyline,agency
house,house,495000.0,for sale,1020,hyper equipped,1935.0,as new,gas,273.0,4.0,110.0,,True,,True,True,,,,False,abita agence immobilière scrl,agency
house,house,199500.0,for sale,4400,not installed,1957.0,to be done up,fueloil,563.0,4.0,1036.0,,True,,True,,,1.0,,False,trevi rasquain,agency
