classified.price,classified.building.constructionYear,classified.building.condition,classified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.outdoor.garden.surface
400000.0,1964.0,3.0,755.0,4,200.0,0.0
349000.0,1925.0,7.0,311.0,1,0.0,0.0
450000.0,1930.0,5.0,275.0,5,100.0,45.0
579000.0,1899.0,5.0,288.0,1,90.0,0.0
529000.0,1970.0,5.0,424.0,5,131.0,40.0
510000.0,1887.0,1.0,437.0,6,110.0,0.0
390000.0,1918.0,5.0,265.0,3,85.0,0.0
549000.0,1962.0,5.0,508.0,4,0.0,0.0
645000.0,1950.0,5.0,250.0,3,65.0,0.0
635000.0,1923.0,1.0,461.0,5,0.0,20.0
625000.0,1937.0,5.0,530.0,9,2040.0,2688.0
475000.0,1947.0,5.0,237.0,8,0.0,0.0
720000.0,1910.0,1.0,168.0,10,110.0,30.0
385000.0,1930.0,1.0,329.0,4,96.0,0.0
800000.0,1980.0,5.0,245.0,2,1200.0,0.0
675000.0,2022.0,6.0,138.0,3,126.0,0.0
685000.0,2006.0,5.0,167.0,4,434.0,0.0
730000.0,1984.0,5.0,380.0,10,102.0,0.0
495000.0,1958.0,1.0,256.0,5,120.0,40.0
1350000.0,1900.0,7.0,262.0,4,76.0,0.0
799000.0,1920.0,5.0,426.0,5,0.0,0.0
1090000.0,1874.0,5.0,631.0,4,218.0,76.0
1950000.0,1981.0,7.0,290.0,5,600.0,0.0
2685000.0,2015.0,7.0,150.0,10,400.0,0.0
1180000.0,1905.0,5.0,274.0,7,120.0,0.0
3200000.0,1900.0,3.0,483.0,0,0.0,120.0
1595000.0,1930.0,5.0,210.0,6,192.0,0.0
1295000.0,1910.0,5.0,184.0,7,185.0,112.0
495000.0,1850.0,3.0,464.0,4,147.0,0.0
669000.0,1930.0,3.0,448.0,0,223.0,0.0
649000.0,1911.0,3.0,358.0,4,170.0,70.0
134900.0,1899.0,5.0,617.0,4,60.0,0.0
710000.0,1966.0,5.0,327.0,5,1900.0,1700.0
1225000.0,1995.0,5.0,275.0,14,1163.0,600.0
475000.0,1957.0,5.0,288.0,4,572.0,0.0
3699000.0,2010.0,5.0,201.0,94,3699.0,778.0
1250000.0,2018.0,7.0,96.0,10,1500.0,0.0
975000.0,2018.0,7.0,96.0,10,1500.0,0.0
800000.0,1981.0,5.0,243.0,3,1721.0,150.0
1090000.0,1874.0,5.0,631.0,4,218.0,76.0
845000.0,1930.0,3.0,378.0,7,135.0,52.0
1275000.0,2000.0,7.0,222.0,6,2286.0,1670.0
600000.0,1950.0,5.0,156.0,4,154.0,47.0
475000.0,1910.0,7.0,178.0,3,224.0,172.0
645000.0,1870.0,5.0,634.0,4,188.0,0.0
560000.0,1936.0,5.0,514.0,4,165.0,70.0
750000.0,1994.0,5.0,1400.0,10,587.0,0.0
795000.0,2017.0,6.0,113.0,6,59.0,0.0
200000.0,1910.0,3.0,364.0,3,173.0,0.0
1455000.0,1975.0,6.0,299.0,11,531.0,0.0
380000.0,1961.0,5.0,110.0,5,0.0,0.0
140000.0,1849.0,1.0,271.0,8,260.0,200.0
279000.0,1939.0,5.0,500.0,6,340.0,250.0
1499000.0,1920.0,1.0,357.0,10,134.0,0.0
3200000.0,1900.0,5.0,434.0,1,490.0,0.0
3050000.0,1930.0,6.0,129.0,12,280.0,180.0
1150000.0,1896.0,5.0,385.0,6,154.0,60.0
1085000.0,1900.0,5.0,180.0,5,192.0,86.0
1075000.0,1955.0,3.0,785.0,6,105.0,0.0
599000.0,1958.0,3.0,474.0,4,355.0,60.0
409000.0,1930.0,1.0,438.0,4,210.0,125.0
365000.0,1947.0,5.0,431.0,5,403.0,0.0
865000.0,1963.0,5.0,217.0,8,92.0,0.0
450000.0,1978.0,5.0,836.0,5,817.0,0.0
279000.0,1930.0,5.0,378.0,5,283.0,117.0
299000.0,1850.0,5.0,256.0,6,83.0,0.0
129000.0,1900.0,1.0,241.0,5,100.0,0.0
528000.0,2007.0,5.0,184.0,3,72.0,0.0
140000.0,1930.0,5.0,583.0,2,308.0,100.0
223000.0,1860.0,1.0,859.0,2,60.0,0.0
289900.0,1818.0,1.0,451.0,7,500.0,95.0
1149000.0,1875.0,7.0,237.0,3,2040.0,0.0
419000.0,1941.0,1.0,892.0,5,334.0,170.0
495000.0,1958.0,1.0,256.0,5,120.0,40.0
572000.0,1930.0,1.0,655.0,4,130.0,0.0
375000.0,1850.0,5.0,358.0,5,183.0,0.0
625000.0,1936.0,3.0,201.0,4,240.0,0.0
497000.0,1990.0,6.0,108.0,4,338.0,185.0
174000.0,1956.0,3.0,271.0,4,252.0,0.0
439000.0,1984.0,5.0,141.0,4,370.0,240.0
430000.0,2016.0,5.0,117.0,4,0.0,115.0
2400000.0,2003.0,7.0,196.0,0,0.0,0.0
649000.0,1974.0,5.0,355.0,7,805.0,0.0
950000.0,1910.0,1.0,346.0,11,130.0,0.0
2200000.0,1870.0,1.0,334.0,15,408.0,111.0
725000.0,1910.0,5.0,272.0,4,0.0,0.0
645000.0,1907.0,5.0,380.0,4,96.0,0.0
795000.0,1900.0,5.0,260.0,0,160.0,0.0
599000.0,1900.0,5.0,976.0,6,172.0,73.0
